Item #,Pin Label,Species,DBH (cm),Notes,cx,cy,X (PDF Pts),Y (PDF Pts)
41,7,,,,-184.5,-106.0,574.0,499.5
42,7,,,,-184.5,-106.0,574.0,499.5
43,8,,,,-232.5,-134.0,602.0,451.5
44,9,Pine,,,,585.0,-270.0,738.0,1269.0
45,10,Pine,,,,573.0,-248.0,716.0,1257.0
46,11,Pine,,,,567.0,-240.70000000000005,708.7,1251.0
47,12,Pine,,Dead,586.5,-222.70000000000005,690.7,1270.5
48,13,Pine,,,,585.0,-208.0,676.0,1269.0
49,,Austrian Pine,,,,600.0,-146.0,614.0,1284.0
50,,Austrian Pine,,,,603.0,-132.70000000000005,600.7,1287.0
51,,Austrian Pine,,,,621.0,-50.700000000000045,518.7,1305.0
52,,Austrian Pine,,,,616.5,-60.700000000000045,528.7,1300.5
53,,Austrian Pine,,,,615.0,-72.0,540.0,1299.0
54,,Austrian Pine,,,,612.0,-84.0,552.0,1296.0
55,,Austrian Pine,,,,612.0,-94.0,562.0,1296.0
56,,Austrian Pine,,,,609.0,-106.70000000000005,574.7,1293.0
57,,Austrian Pine,,,,607.5,-118.70000000000005,586.7,1291.5
58,,Silver Maple,,,,421.5,-46.700000000000045,514.7,1105.5
59,,Silver Maple,,,,466.5,-46.700000000000045,514.7,1150.5
60,,Silver Maple,,,,519.0,-46.700000000000045,514.7,1203.0
61,,Silver Maple,,,,552.0,-49.299999999999955,517.3,1236.0
62,14,Pine,,,,370.5,-49.299999999999955,517.3,1054.5
63,15,Maple,,,,348.0,-44.0,512.0,1032.0
64,16,Pine,,,,372.0,-16.0,484.0,1056.0
65,17,Pine,,,,370.5,8.699999999999989,459.3,1054.5
66,18,Pine,40,,,381.0,24.69999999999999,443.3,1065.0
67,19,Pine,40,,,369.0,151.3,316.7,1053.0
68,20,Pine,50,Fair,354.0,138.7,329.3,1038.0
69,21,Silver Maple,75,,,342.0,124.69999999999999,343.3,1026.0
70,22,Pine,50,,,331.5,110.0,358.0,1015.5
71,23,Pine,80,,,361.5,87.30000000000001,380.7,1045.5
72,24,Pine,55,,,376.5,57.30000000000001,410.7,1060.5
