tree_num,direction,tpz_m,tpz_mm,cx,cy
404,Protect,4.80,19.98,-243.0099,-628.1690
406,Protect,3.60,14.78,-216.5143,-675.9473
405,Protect,1.20,4.90,-211.3376,-637.4108
354,Protect,4.80,19.98,-205.3043,-765.3573
635,Protect,6.00,25.00,-199.7293,-376.5129
566,Protect,3.60,14.90,-191.3043,-709.4673
641,Protect,3.60,14.80,-190.0542,-540.2745
565,Protect,7.20,30.00,-160.4943,-709.4573
636,Protect,4.80,19.90,-143.3816,-466.5503
639,Protect,7.20,30.00,-140.9243,-533.4173
564,Protect,1.20,4.96,-132.4943,-692.6873
640,Protect,6.00,25.00,-127.9043,-574.6743
642,Protect,3.60,14.80,-126.9043,-611.6473
637,Protect,6.00,24.90,-111.4058,-476.0832
562,Protect,6.00,25.00,-104.4943,-659.1373
638,Protect,4.80,19.80,-66.2622,-497.5815
520,Removal (1),4.80,19.90,-38.0575,-447.8784
667,Protect,3.60,14.80,-6.5843,67.3727
376,Protect,4.80,19.84,-6.4543,-728.9573
560,Protect,1.20,4.96,4.7357,-675.8673
559,Protect,3.60,14.60,4.7457,-703.8073
519,Removal (1),3.60,14.80,9.5425,-372.4184
212,Removal (1),6.00,24.96,17.6780,-339.0484
117,Protect,3.60,14.67,38.3258,40.0454
214,Removal (1),6.00,24.96,45.9525,-397.5584
213,Removal (1),6.00,24.90,53.0543,-364.4804
557,Protect,3.60,14.62,56.6734,-724.2661
211,Removal (1),7.20,29.82,59.9425,-322.1084
526,Removal (1),3.60,14.60,68.3825,-540.0484
514,Removal (1),1.20,4.96,99.0101,-293.1236
513,Removal (1),1.20,4.96,110.2764,-267.7028
511,Removal (1),3.60,14.60,104.7425,-241.0584
527,Removal (1),3.60,14.70,109.9101,-573.5564
204,Removal (1),7.20,29.88,120.3549,-213.4340
512,Removal (1),3.60,14.62,124.8822,-250.3245
509,Removal (1),3.60,14.64,147.0775,-342.7546
207,Removal (1),6.00,24.84,182.8300,-271.1786
203,Removal (1),6.00,24.96,184.7442,-172.0844
205,Removal (1),3.60,14.60,194.3525,-185.1484
490,Removal (1),3.60,14.70,194.3525,-185.1484
206,Removal (1),6.00,24.88,199.9625,-218.6684
202,Removal (1),6.00,24.96,203.6832,-138.9123
484,Protect,3.60,14.64,220.2757,64.6627
485,Protect,3.60,14.64,220.2757,64.6627
495,Removal (1),3.60,14.64,225.1625,-193.5184
494,Removal (1),3.60,14.60,239.1725,-201.8884
496,Removal (1),3.60,14.70,239.1725,-201.8884
209,Removal (1),1.20,4.90,241.9925,-330.4284
529,Removal (1),3.60,14.80,256.0306,-685.8423
301,Removal (1),7.20,29.84,274.0344,-550.9773
76,Protect,4.80,19.80,276.6045,-10.7173
201,Removal (1),7.20,29.94,278.3725,-134.8184
216,Removal (1),3.60,14.76,278.4025,-358.3484
302,Removal (1),6.00,24.96,286.7655,-576.2684
208,Removal (1),3.60,14.76,289.5197,-257.6190
77,Protect,4.80,19.80,293.1057,22.7827
304,Removal (1),8.40,34.84,311.0681,-678.7641
309,Protect,3.60,14.60,312.8357,-823.8473
544,Protect,3.60,14.80,343.5857,-415.8873
505,Removal (1),4.80,19.90,342.9070,-332.1054
536,Removal (1),3.60,14.70,365.2625,-576.2684
531,Removal (1),6.00,24.90,368.0725,-651.7084
217,Removal (1),4.80,19.80,370.8125,-249.3484
219,Removal (1),3.60,14.92,373.6025,-213.0184
220,Removal (1),4.80,19.90,373.6025,-213.0184
532,Removal (1),3.60,14.64,373.6725,-632.1484
74,Protect,3.60,14.72,375.9265,-10.0167
535,Removal (1),3.60,14.90,376.4625,-587.4384
534,Removal (1),3.60,14.70,376.1791,-606.4270
221,Removal (1),6.00,24.88,387.6025,-182.2784
218,Removal (1),3.60,14.94,396.0125,-207.4284
500,Removal (1),4.80,19.80,404.4125,-179.4784
231,Protect,6.00,24.86,408.0257,-549.9773
306,Protect,7.20,30.00,408.8244,-731.3568
73,Protect,6.00,24.96,418.3096,-55.9782
230,Protect,7.20,29.94,419.2257,-533.2173
229,Protect,7.20,29.94,430.4157,-502.4773
305,Protect,7.20,29.82,432.5227,-692.4258
232,Protect,4.80,19.84,441.8174,-720.0868
225,Protect,7.20,29.88,467.3136,-442.5054
707,Protect,1.20,4.96,469.5557,-21.8573
233,Protect,3.60,14.62,502.6803,-697.4495
706,Protect,1.20,4.96,508.7557,0.5027
70,Protect,1.20,4.96,531.1674,-80.6684
226,Protect,6.00,24.94,534.0257,-421.3873
234,Protect,4.80,19.88,534.0657,-633.7573
224,Protect,4.80,19.88,535.0257,-370.7799
71,Protect,3.60,14.72,539.5657,20.0727
223,Protect,1.20,4.90,550.8257,-348.7473
228,Protect,4.80,19.84,556.4657,-572.2773
447,Protect,3.60,14.60,564.8357,-385.0673
227,Protect,4.80,19.90,578.8557,-502.4173
449,Protect,3.60,14.88,584.4257,-292.8573
446,Protect,6.00,24.84,590.0457,-421.3873
