t_num,hash_num,cx,cy,color
,720,1643.15,1306.72,blue
,719,1693.44,1329.13,blue
,718,1665.52,1281.52,blue
,717,1693.45,1303.93,blue
,714,1665.53,1236.71,blue
,713,1587.3,1233.89,blue
,712,1576.11,1253.5,blue
,711,1601.26,1256.3,blue
,709,1632.0,1236.7,blue
64,,1377.74,1222.66,orange
,707,1182.13,1281.44,blue
,706,1204.49,1242.24,blue
71,,1224.06,1211.43,orange
,704,1254.8,1205.83,blue
69,,1282.74,1211.44,orange
66,,1355.37,1278.67,orange
39,,1380.51,1281.47,orange
68,,1358.2,1172.24,orange
67,,1374.96,1194.65,orange
65,,1386.13,1200.25,orange
38,,1394.51,1214.26,orange
37,,1402.89,1225.46,orange
35,,1450.39,1219.87,orange
30,,1478.33,1211.47,orange
,693,1492.3,1222.68,blue
,692,1528.63,1211.48,blue
31,,1553.77,1214.28,orange
,690,1534.21,1228.28,blue
,689,1514.64,1247.89,blue
34,,1481.11,1250.68,orange
41,,1469.93,1281.49,orange
,686,1531.39,1303.9,blue
,685,1556.53,1320.71,blue
,684,1584.46,1345.92,blue
44,,1567.68,1379.53,orange
,682,1643.14,1354.33,blue
45,,1612.39,1379.53,orange
,680,1668.27,1390.74,blue
,679,1645.92,1382.34,blue
48,,1634.73,1407.54,orange
47,,1612.38,1418.74,orange
52,,1562.06,1488.75,orange
,675,1701.76,1513.98,blue
,674,1855.45,1466.39,blue
,673,1830.3,1474.79,blue
,672,1807.94,1502.8,blue
61,,1766.01,1539.2,orange
60,,1746.45,1544.8,orange
59,,1724.09,1567.2,orange
117,,1243.44,1715.56,orange
,667,1271.36,1757.58,blue
115,,1226.66,1751.97,orange
114,,1209.89,1763.17,orange
113,,1176.35,1785.57,orange
,663,1176.35,1785.57,orange
112,,1159.58,1816.37,orange
111,,1137.22,1830.37,orange
,660,1123.24,1855.58,blue
,659,1086.9,1897.58,blue
,658,1193.07,1922.81,blue
,657,1128.81,1908.79,blue
,656,1128.79,1950.8,blue
,655,1098.05,1962.0,blue
